사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-02,1호선,0150,서울역,1016616,962133,144018,137714
2020-02,1호선,0151,시청,497795,503452,72691,71038
2020-02,1호선,0152,종각,872537,849775,112493,105074
2020-02,1호선,0153,종로3가,478117,458780,242424,226097
2020-02,1호선,0154,종로5가,384746,392799,186911,178789
2020-02,1호선,0155,동대문,213374,220153,90504,90311
2020-02,1호선,0156,신설동,279911,274174,93563,88925
2020-02,1호선,0157,제기동,216277,209368,206429,218884
2020-02,1호선,0158,청량리(서울시립대입구),318492,316807,212707,213652
2020-02,1호선,0159,동묘앞,117820,124937,100130,102701
2020-02,2호선,0201,시청,566526,553529,43058,39060
2020-02,2호선,0202,을지로입구,998687,1029160,73923,69085
2020-02,2호선,0203,을지로3가,492472,493218,64061,62572
2020-02,2호선,0204,을지로4가,251462,250450,67203,64652
2020-02,2호선,0205,동대문역사문화공원,315886,358395,40156,41712
2020-02,2호선,0206,신당,283255,297117,74229,76428
2020-02,2호선,0207,상왕십리,299940,284578,50605,50671
2020-02,2호선,0208,왕십리(성동구청),397847,336629,43258,36263
2020-02,2호선,0209,한양대,159376,173786,10533,10748
2020-02,2호선,0210,뚝섬,447294,480366,46153,46800
2020-02,2호선,0211,성수,703624,772458,84617,86496
2020-02,2호선,0212,건대입구,894294,969510,70630,73171
2020-02,2호선,0213,구의(광진구청),529706,511688,81980,83928
2020-02,2호선,0214,강변(동서울터미널),837654,827917,92134,89047
2020-02,2호선,0215,잠실나루,290715,278275,60474,60188
2020-02,2호선,0216,잠실(송파구청),1706760,1651118,128395,121913
2020-02,2호선,0217,잠실새내,478015,483051,77195,76965
2020-02,2호선,0218,종합운동장,158537,174374,29623,30688
2020-02,2호선,0219,삼성(무역센터),1246045,1280831,90557,84373
2020-02,2호선,0220,선릉,1210480,1080636,180866,159258
2020-02,2호선,0221,역삼,1117200,1249856,128894,130532
2020-02,2호선,0222,강남,2283516,2345497,139949,124624
2020-02,2호선,0223,교대(법원.검찰청),738424,831050,116865,130142
2020-02,2호선,0224,서초,490679,485184,61859,61740
2020-02,2호선,0225,방배,366331,381104,56864,56184
2020-02,2호선,0226,사당,859664,957293,135476,129715
2020-02,2호선,0227,낙성대,638327,607955,83932,85759
2020-02,2호선,0228,서울대입구(관악구청),1135231,1103449,151450,145049
2020-02,2호선,0229,봉천,516012,467536,119128,120519
2020-02,2호선,0230,신림,1554701,1500865,180675,183615
2020-02,2호선,0231,신대방,601691,568429,95225,97530
2020-02,2호선,0232,구로디지털단지,1436819,1440557,138505,140571
2020-02,2호선,0233,대림(구로구청),552046,553448,87456,90755
2020-02,2호선,0234,신도림,1205858,1197951,151014,143939
2020-02,2호선,0235,문래,449932,460551,58997,58197
2020-02,2호선,0236,영등포구청,487213,494027,78134,77260
2020-02,2호선,0237,당산,450282,520782,48681,52252
2020-02,2호선,0238,합정,784455,838067,53736,53463
2020-02,2호선,0239,홍대입구,1655178,1773046,77762,75288
2020-02,2호선,0240,신촌,923819,951184,96379,93415
2020-02,2호선,0241,이대,321719,337021,40072,41050
2020-02,2호선,0242,아현,196485,186829,48084,47755
2020-02,2호선,0243,충정로(경기대입구),227813,241700,38146,37907
2020-02,2호선,0244,용답,50165,49116,13143,12886
2020-02,2호선,0245,신답,32480,36712,7674,8443
2020-02,2호선,0246,신설동,68818,67297,26214,28387
2020-02,2호선,0247,도림천,25476,26985,5148,5457
2020-02,2호선,0248,양천구청,135332,143143,34003,34985
2020-02,2호선,0249,신정네거리,187069,193053,50794,52080
2020-02,2호선,0250,용두(동대문구청),39635,41056,17570,19043
2020-02,3호선,0309,지축,53206,52792,9879,11647
2020-02,3호선,0310,구파발,441130,407708,83855,78992
2020-02,3호선,0311,연신내,802366,754851,207328,202223
2020-02,3호선,0312,불광,318698,345685,103723,114581
2020-02,3호선,0313,녹번,287442,248634,52432,52026
2020-02,3호선,0314,홍제,335827,313593,107145,107426
2020-02,3호선,0315,무악재,74882,74377,22494,24346
2020-02,3호선,0316,독립문,122821,127578,51710,51153
2020-02,3호선,0317,경복궁(정부서울청사),433334,432360,67207,61463
2020-02,3호선,0318,안국,451969,470962,61694,65051
2020-02,3호선,0319,종로3가,211624,257722,47011,51073
2020-02,3호선,0320,을지로3가,227281,239289,44980,43633
2020-02,3호선,0321,충무로,37,0,0,0
2020-02,3호선,0322,동대입구,179415,193434,23652,25170
2020-02,3호선,0323,약수,276198,268630,61258,58598
2020-02,3호선,0324,금호,168555,154116,41385,41029
2020-02,3호선,0325,옥수,185294,192768,41235,41446
2020-02,3호선,0326,압구정,712406,775511,97265,94876
2020-02,3호선,0327,신사,758220,818286,59120,56616
2020-02,3호선,0328,잠원,119098,115734,26659,26026
2020-02,3호선,0329,고속터미널,1027587,1006204,109638,105316
2020-02,3호선,0330,교대(법원.검찰청),293763,193901,49930,30790
2020-02,3호선,0331,남부터미널(예술의전당),685896,704020,85973,86399
2020-02,3호선,0332,양재(서초구청),853227,926766,112180,113191
2020-02,3호선,0333,매봉,236744,228797,42449,38504
2020-02,3호선,0334,도곡,111754,115829,19115,16608
2020-02,3호선,0335,대치,251069,242716,44681,42687
2020-02,3호선,0336,학여울,37600,38422,11436,10928
2020-02,3호선,0337,대청,199403,182317,41958,40572
2020-02,3호선,0338,일원,182086,181151,44365,44051
2020-02,3호선,0339,수서,344557,346094,75197,74101
2020-02,3호선,0340,가락시장,172661,169154,54995,53437
2020-02,3호선,0341,경찰병원,158029,156815,31676,31942
2020-02,3호선,0342,오금,140851,123058,20806,19539
2020-02,4호선,0409,당고개,251214,228618,71164,70801
2020-02,4호선,0410,상계,408832,364627,89276,87642
2020-02,4호선,0411,노원,466259,538300,69954,68852
2020-02,4호선,0412,창동,541022,577952,145912,151764
2020-02,4호선,0413,쌍문,665285,589973,127242,125757
2020-02,4호선,0414,수유(강북구청),763450,759475,157921,158323
2020-02,4호선,0415,미아(서울사이버대학),308812,285882,89414,90302
2020-02,4호선,0416,미아사거리,601614,581227,139914,138458
2020-02,4호선,0417,길음,428807,404540,85965,86834
2020-02,4호선,0418,성신여대입구(돈암),451210,426239,65548,63782
2020-02,4호선,0419,한성대입구(삼선교),289225,277575,55345,54983
2020-02,4호선,0420,혜화,758288,784124,91812,90455
2020-02,4호선,0421,동대문,399684,419904,104045,99322
2020-02,4호선,0422,동대문역사문화공원,418402,385941,42339,38393
2020-02,4호선,0423,충무로,598110,617696,94713,94885
2020-02,4호선,0424,명동,630664,671930,43692,43780
2020-02,4호선,0425,회현(남대문시장),490496,528027,111862,110702
2020-02,4호선,0426,서울역,285563,445274,30972,35019
2020-02,4호선,0427,숙대입구(갈월),307871,304875,41479,38959
2020-02,4호선,0428,삼각지,100578,114953,19023,20060
2020-02,4호선,0429,신용산,352548,370081,37679,36929
2020-02,4호선,0430,이촌(국립중앙박물관),150207,169180,30722,33004
2020-02,4호선,0431,동작(현충원),39394,41894,14401,14170
2020-02,4호선,0432,총신대입구(이수),394004,436837,113098,118393
2020-02,4호선,0433,사당,607271,514563,63455,62289
2020-02,4호선,0434,남태령,24375,19571,6298,5896
2020-02,경부선,1001,서울역,124920,33383,6666,1472
2020-02,경부선,1002,남영,213447,223641,27856,29049
2020-02,경부선,1003,용산,784728,803514,85130,84384
2020-02,경부선,1004,노량진,229041,219573,24250,21911
2020-02,경부선,1005,대방,280968,287110,50566,50493
2020-02,경부선,1006,영등포,880993,922465,185437,184471
2020-02,경부선,1007,신도림,78679,76987,17565,18869
2020-02,경부선,1032,신길,197329,161615,33018,30238
2020-02,경부선,1701,구로,376593,387979,69006,66730
2020-02,경부선,1702,가산디지털단지,398649,457838,26065,28465
2020-02,경부선,1703,금천구청,227199,218880,58671,60094
2020-02,경부선,1704,석수,219932,191697,34657,33208
2020-02,경부선,1705,관악,147606,134245,37839,36640
2020-02,경부선,1706,안양,476130,471085,83103,85704
2020-02,경부선,1707,명학,183045,178802,32435,31842
2020-02,경부선,1708,금정,559998,573549,78757,80228
2020-02,경부선,1709,군포,149318,147088,27243,26321
2020-02,경부선,1710,의왕,185343,181915,30934,30897
2020-02,경부선,1711,성균관대,299492,294713,36025,36616
2020-02,경부선,1712,화서,149663,143418,27623,27493
2020-02,경부선,1713,수원,778347,827825,94185,99798
2020-02,경부선,1714,독산,345532,359316,50251,51863
2020-02,경부선,1715,세류,68074,63167,11564,11546
2020-02,경부선,1716,병점,292166,291732,40749,39738
2020-02,경부선,1717,세마,49395,44112,9870,9163
2020-02,경부선,1718,오산대,55276,48716,9445,8972
2020-02,경부선,1719,오산,195543,192077,31253,32120
2020-02,경부선,1720,진위,28907,24829,5365,5030
2020-02,경부선,1721,송탄,85655,81977,15642,15291
2020-02,경부선,1722,서정리,108524,107118,19059,18768
2020-02,경부선,1723,지제,51960,46546,5767,5336
2020-02,경부선,1724,평택,233755,229204,43424,42032
2020-02,경부선,1725,성환,59767,59815,15688,15861
2020-02,경부선,1726,직산,14766,14468,3392,3301
2020-02,경부선,1727,두정,98686,100225,14859,15161
2020-02,경부선,1728,천안,89508,91101,32808,33172
2020-02,경부선,1729,당정,131133,124391,20568,20053
2020-02,경부선,1749,서동탄,31631,25594,6510,6065
2020-02,경부선,1750,광명,68792,54989,5637,4728
2020-02,경인선,1801,개봉,427835,425739,112470,117396
2020-02,경인선,1802,오류동,233009,216914,70718,70093
2020-02,경인선,1803,역곡,579132,568068,112575,115128
2020-02,경인선,1804,부천,699027,702476,143317,144503
2020-02,경인선,1805,송내,633078,622966,87201,86563
2020-02,경인선,1806,부평,726378,791389,104173,105675
2020-02,경인선,1807,백운,142432,138453,44192,45241
2020-02,경인선,1808,동암,336563,336107,72565,73339
2020-02,경인선,1809,주안,448803,406608,68305,61372
2020-02,경인선,1810,제물포,202540,188570,46961,46529
2020-02,경인선,1811,동인천,282374,266811,88661,86412
2020-02,경인선,1812,인천,53413,37683,19983,18267
2020-02,경인선,1813,구일,123920,124610,28798,28704
2020-02,경인선,1814,소사,193355,182581,50747,50243
2020-02,경인선,1815,부개,169044,156883,46455,45689
2020-02,경인선,1816,간석,116255,109605,33714,32334
2020-02,경인선,1817,도원,45176,45213,25831,27055
2020-02,경인선,1821,온수(성공회대입구),126006,124352,34277,33911
2020-02,경인선,1822,중동,177193,164013,49091,48860
2020-02,경인선,1823,도화,67452,58288,28272,27372
2020-02,경원선,1008,이촌(국립중앙박물관),75996,56634,20357,16821
2020-02,경원선,1009,서빙고,34201,32668,11680,11266
2020-02,경원선,1010,한남,81658,78496,22973,21471
2020-02,경원선,1011,옥수,999,669,71,66
2020-02,경원선,1012,응봉,29992,25490,11858,10950
2020-02,경원선,1013,왕십리(성동구청),327761,369902,42047,46530
2020-02,경원선,1014,청량리(서울시립대입구),254289,275766,98534,103025
2020-02,경원선,1016,외대앞,169053,161716,36037,36505
2020-02,경원선,1017,신이문,170462,150058,50622,49461
2020-02,경원선,1018,석계,174741,198360,47261,51284
2020-02,경원선,1019,광운대,165561,153225,40732,40415
2020-02,경원선,1020,월계,100178,92807,44189,42752
2020-02,경원선,1021,녹천,88129,71049,28749,26214
2020-02,경원선,1022,창동,13,0,1,0
2020-02,경원선,1901,방학,156031,148980,83201,82916
2020-02,경원선,1902,도봉,95827,86694,52508,52381
2020-02,경원선,1903,도봉산,123756,62564,74631,57438
2020-02,경원선,1904,망월사,131593,133165,55367,57040
2020-02,경원선,1905,회룡,204034,194850,106784,107239
2020-02,경원선,1906,의정부,407090,424717,88665,89945
2020-02,경원선,1907,가능,120171,113818,44118,42895
2020-02,경원선,1908,녹양,92892,87510,27476,26236
2020-02,경원선,1909,양주,159223,144457,41345,40488
2020-02,경원선,1910,덕계,44304,37817,13468,13046
2020-02,경원선,1911,덕정,114917,110208,26181,26358
2020-02,경원선,1912,지행,128772,126618,33311,32991
2020-02,경원선,1913,동두천중앙,52362,48917,29350,29856
2020-02,경원선,1914,보산,31792,30149,10146,9444
2020-02,경원선,1915,동두천,33066,38109,15789,19554
2020-02,경원선,1916,소요산,31343,23167,43413,38462
2020-02,안산선,1751,산본,349781,378251,71884,73417
2020-02,안산선,1752,대야미,100536,87311,20509,19078
2020-02,안산선,1753,반월,88209,81820,21182,20982
2020-02,안산선,1754,상록수,399745,389462,58414,59469
2020-02,안산선,1755,한대앞,160328,158766,27097,26836
2020-02,안산선,1756,중앙,360110,383165,39742,39144
2020-02,안산선,1757,고잔,172297,168722,24382,23851
2020-02,안산선,1758,초지,86320,85386,10359,10437
2020-02,안산선,1759,안산,278470,247678,26561,23865
2020-02,안산선,1760,신길온천,31055,27993,5968,5737
2020-02,안산선,1761,정왕,148528,159112,17025,18447
2020-02,안산선,1762,오이도,196764,187681,24494,23809
2020-02,안산선,1763,수리산,79518,60660,22489,21045
2020-02,과천선,1450,선바위,191401,163521,22748,21521
2020-02,과천선,1451,경마공원,96456,98647,43453,43706
2020-02,과천선,1452,대공원,32678,34940,20583,21377
2020-02,과천선,1453,과천,96718,87999,24458,23683
2020-02,과천선,1454,정부과천청사,217934,216177,41532,39874
2020-02,과천선,1455,인덕원,530218,540928,75949,79925
2020-02,과천선,1456,평촌,384920,378828,46805,47544
2020-02,과천선,1457,범계,601593,586596,74276,71612
2020-02,분당선,1023,선릉,272697,444248,31372,43622
2020-02,분당선,1024,한티,312341,326181,47661,48334
2020-02,분당선,1025,도곡,127276,128579,29530,29329
2020-02,분당선,1026,구룡,26882,26210,9564,9458
2020-02,분당선,1027,개포동,70100,73354,17060,17734
2020-02,분당선,1028,대모산입구,61363,55406,21086,20931
2020-02,분당선,1030,수서,296704,299328,46553,48022
2020-02,분당선,1031,복정,11,0,1,0
2020-02,분당선,1846,수원,177476,122876,19009,12003
