사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-20,1호선,150,서울역,753 ,16 ,8656 ,5881 ,11027 ,38332 ,32573 ,81286 ,58541 ,193055 ,41153 ,127717 ,39848 ,58253 ,49968 ,50161 ,56518 ,53540 ,59305 ,53103 ,50532 ,51812 ,67661 ,52243 ,75481 ,54169 ,119660 ,60448 ,196464 ,70707 ,99142 ,51008 ,65245 ,33678 ,63755 ,26761 ,43085 ,21612 ,19466 ,12290 ,1797 ,3647 ,2 ,126 ,2 ,2 ,0 ,0 
Feb-20,1호선,151,시청,42 ,0 ,1952 ,3560 ,3300 ,16533 ,6242 ,57309 ,8081 ,178660 ,9755 ,78662 ,11906 ,32268 ,15555 ,28906 ,17343 ,27050 ,20853 ,27973 ,26042 ,24310 ,32906 ,19579 ,38779 ,16991 ,60679 ,16297 ,144434 ,17295 ,56175 ,10215 ,40610 ,5814 ,39470 ,5451 ,26459 ,4165 ,9531 ,2749 ,371 ,692 ,1 ,11 ,0 ,0 ,0 ,0 
Feb-20,1호선,152,종각,79 ,3 ,3146 ,4391 ,3467 ,24993 ,5274 ,94607 ,9004 ,242224 ,10742 ,141336 ,14303 ,58760 ,22674 ,47931 ,29614 ,42370 ,39649 ,46933 ,43715 ,39584 ,54178 ,33611 ,64149 ,32451 ,113121 ,37647 ,206201 ,48256 ,97266 ,30281 ,79150 ,11785 ,88384 ,8033 ,68375 ,5344 ,30708 ,3360 ,1828 ,943 ,3 ,5 ,0 ,1 ,0 ,0 
Feb-20,1호선,153,종로3가,116 ,22 ,3846 ,2299 ,3476 ,11699 ,4511 ,23897 ,7227 ,69206 ,10308 ,80209 ,18606 ,63778 ,28926 ,58115 ,39599 ,56960 ,50736 ,62819 ,49961 ,52998 ,57690 ,44003 ,64043 ,37181 ,72521 ,33092 ,98198 ,38211 ,63162 ,23269 ,43353 ,9373 ,48776 ,6978 ,37560 ,5254 ,16268 ,3806 ,1658 ,1698 ,0 ,10 ,0 ,0 ,0 ,0 
Feb-20,1호선,154,종로5가,44 ,0 ,1780 ,3073 ,2460 ,13332 ,4470 ,34278 ,7062 ,107991 ,9872 ,66371 ,15829 ,45804 ,23775 ,43150 ,29149 ,41831 ,35732 ,38577 ,41196 ,37081 ,45721 ,32749 ,49226 ,26949 ,68408 ,24541 ,100527 ,22501 ,51766 ,14254 ,32218 ,7127 ,26344 ,5358 ,18963 ,3617 ,6666 ,2295 ,448 ,708 ,1 ,1 ,0 ,0 ,0 ,0 
Feb-20,1호선,155,동대문,798 ,8 ,13638 ,1759 ,8461 ,5858 ,12050 ,10105 ,17226 ,22032 ,17358 ,21608 ,14598 ,18803 ,15589 ,20013 ,18269 ,20398 ,19826 ,20618 ,20551 ,20451 ,20955 ,19782 ,22126 ,17999 ,22813 ,18518 ,23275 ,19959 ,16262 ,21960 ,12753 ,14276 ,11927 ,11836 ,9231 ,11183 ,5391 ,9774 ,781 ,3497 ,0 ,27 ,0 ,0 ,0 ,0 
Feb-20,1호선,156,신설동,279 ,8 ,9027 ,1800 ,8286 ,6848 ,16764 ,20439 ,25071 ,64136 ,17232 ,32688 ,14185 ,19543 ,16642 ,16934 ,18092 ,16906 ,19723 ,17172 ,19669 ,17270 ,20811 ,17312 ,23381 ,18552 ,36047 ,21539 ,60610 ,25878 ,23986 ,20518 ,14977 ,12892 ,13509 ,11760 ,10148 ,11325 ,4570 ,7438 ,465 ,2140 ,0 ,1 ,0 ,0 ,0 ,0 
Feb-20,1호선,157,제기동,285 ,1 ,3993 ,1979 ,7081 ,7156 ,18157 ,15693 ,28083 ,38523 ,19128 ,34420 ,18729 ,28151 ,23552 ,32643 ,27906 ,36196 ,31793 ,39289 ,35249 ,36906 ,39804 ,30933 ,39297 ,27340 ,37339 ,21881 ,39786 ,23668 ,19636 ,18025 ,12475 ,10896 ,9711 ,9139 ,7292 ,8521 ,3096 ,5612 ,314 ,1280 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,1호선,158,청량리(서울시립대입구),1087 ,20 ,9557 ,3643 ,13553 ,10991 ,37384 ,13602 ,49828 ,31590 ,31174 ,25598 ,24636 ,26050 ,27448 ,32636 ,32259 ,36157 ,33983 ,39861 ,36404 ,40972 ,40114 ,38135 ,43310 ,35782 ,41838 ,37058 ,40191 ,49893 ,23984 ,37063 ,17951 ,19997 ,12546 ,18941 ,9608 ,16645 ,4050 ,11899 ,293 ,3921 ,1 ,5 ,0 ,0 ,0 ,0 
Feb-20,1호선,159,동묘앞,80 ,0 ,3072 ,761 ,3011 ,3743 ,5383 ,7953 ,7711 ,18909 ,6720 ,13349 ,7346 ,14000 ,10297 ,18249 ,14138 ,21523 ,18487 ,23067 ,21448 ,24356 ,24002 ,20228 ,24795 ,15621 ,24682 ,11844 ,21683 ,9297 ,9730 ,6337 ,5481 ,4270 ,4779 ,4481 ,3428 ,4462 ,1499 ,3326 ,178 ,1795 ,0 ,67 ,0 ,0 ,0 ,0 
Feb-20,2호선,201,시청,40 ,1 ,1222 ,1445 ,1937 ,12938 ,4545 ,60706 ,7594 ,221325 ,9235 ,87364 ,14424 ,25360 ,20217 ,20631 ,18957 ,19856 ,23088 ,22743 ,27239 ,20397 ,31031 ,18709 ,33795 ,16119 ,69399 ,16705 ,174398 ,17572 ,61954 ,10045 ,39427 ,5914 ,36873 ,5333 ,23679 ,4946 ,9158 ,3426 ,1370 ,972 ,2 ,81 ,0 ,1 ,0 ,0 
Feb-20,2호선,202,을지로입구,80 ,2 ,2244 ,2677 ,3194 ,24030 ,7178 ,112227 ,13069 ,322539 ,16488 ,149076 ,21812 ,63736 ,29095 ,51866 ,31920 ,44848 ,41450 ,47071 ,47024 ,39934 ,56005 ,37494 ,63597 ,36275 ,112552 ,38787 ,270179 ,44457 ,112144 ,28204 ,94614 ,16829 ,68577 ,14682 ,54553 ,12134 ,24050 ,7548 ,2782 ,3045 ,3 ,784 ,0 ,0 ,0 ,0 
Feb-20,2호선,203,을지로3가,13 ,0 ,924 ,1404 ,1926 ,16452 ,4778 ,61311 ,8988 ,152935 ,10152 ,73120 ,12748 ,33371 ,16546 ,24085 ,17579 ,20968 ,20586 ,24948 ,23547 ,21252 ,28345 ,18736 ,35225 ,19206 ,65498 ,21039 ,129853 ,25642 ,58105 ,15807 ,38257 ,8441 ,37055 ,6673 ,28875 ,5626 ,15057 ,3710 ,2476 ,1015 ,0 ,46 ,0 ,3 ,0 ,0 
Feb-20,2호선,204,을지로4가,8 ,0 ,832 ,1058 ,1406 ,10040 ,2707 ,27114 ,5166 ,73951 ,7573 ,40360 ,9844 ,22348 ,11810 ,18982 ,13428 ,17081 ,14877 ,16574 ,18103 ,16250 ,20797 ,14559 ,24158 ,12457 ,44384 ,11319 ,69412 ,10598 ,32345 ,6784 ,15981 ,4218 ,12523 ,4067 ,8704 ,3804 ,3847 ,2647 ,760 ,881 ,0 ,10 ,0 ,0 ,0 ,0 
Feb-20,2호선,205,동대문역사문화공원,356 ,0 ,8610 ,794 ,4510 ,7433 ,6257 ,17666 ,10129 ,50976 ,10261 ,33221 ,11679 ,24936 ,13874 ,21708 ,16536 ,20954 ,17230 ,22167 ,19842 ,22711 ,22723 ,21342 ,26968 ,20218 ,36612 ,22006 ,47444 ,25985 ,30466 ,30947 ,21728 ,19220 ,20070 ,14301 ,18274 ,12133 ,10124 ,8520 ,2348 ,2848 ,1 ,21 ,0 ,0 ,0 ,0 
Feb-20,2호선,206,신당,31 ,0 ,5413 ,1116 ,10675 ,6829 ,24194 ,13918 ,42485 ,34258 ,24723 ,22621 ,15935 ,16186 ,15352 ,16160 ,17032 ,17118 ,18425 ,18125 ,18551 ,19437 ,19426 ,19729 ,21197 ,21475 ,26011 ,27554 ,33387 ,41916 ,20602 ,31638 ,14625 ,18775 ,12888 ,16505 ,10226 ,16328 ,5525 ,10517 ,781 ,3339 ,0 ,1 ,0 ,0 ,0 ,0 
Feb-20,2호선,207,상왕십리,20 ,0 ,5003 ,647 ,11260 ,5100 ,34527 ,9643 ,58978 ,31827 ,30386 ,17525 ,17393 ,11910 ,15872 ,10413 ,16801 ,11265 ,16469 ,13260 ,15247 ,13469 ,16069 ,14867 ,15848 ,17785 ,20420 ,24839 ,27032 ,44935 ,17065 ,34168 ,11120 ,20218 ,10224 ,19341 ,7069 ,18182 ,3186 ,11754 ,555 ,4100 ,0 ,1 ,1 ,0 ,0 ,0 
Feb-20,2호선,208,왕십리(성동구청),799 ,2 ,6831 ,911 ,9408 ,5537 ,24765 ,9543 ,47207 ,25670 ,27973 ,18261 ,16818 ,12952 ,16536 ,13705 ,19162 ,15791 ,21424 ,18266 ,20627 ,17758 ,21299 ,18973 ,23597 ,21884 ,30794 ,29787 ,37160 ,54028 ,23936 ,37599 ,21971 ,21173 ,25257 ,17456 ,25990 ,16789 ,16798 ,12099 ,2752 ,4707 ,1 ,0 ,0 ,1 ,0 ,0 
Feb-20,2호선,209,한양대,1 ,1 ,912 ,301 ,2008 ,5814 ,4987 ,8871 ,8405 ,26550 ,5981 ,27996 ,4549 ,15719 ,5746 ,10005 ,6668 ,10225 ,8618 ,11684 ,7930 ,10121 ,9087 ,8097 ,14445 ,7437 ,23864 ,7733 ,24559 ,10176 ,11710 ,6889 ,8494 ,4557 ,8963 ,4254 ,7481 ,4187 ,4505 ,2942 ,996 ,970 ,0 ,5 ,0 ,0 ,0 ,0 
Feb-20,2호선,210,뚝섬,22 ,0 ,3453 ,1680 ,6956 ,12837 ,18703 ,25487 ,28967 ,122074 ,17181 ,68722 ,12466 ,27576 ,12484 ,20641 ,15826 ,21392 ,19728 ,24205 ,21043 ,21934 ,23344 ,21848 ,28920 ,22763 ,43144 ,26228 ,106138 ,36874 ,52948 ,25563 ,29431 ,13876 ,26408 ,12008 ,17843 ,11154 ,7322 ,7693 ,1120 ,2595 ,0 ,16 ,0 ,0 ,0 ,0 
Feb-20,2호선,211,성수,24 ,2 ,4837 ,3686 ,8757 ,27493 ,21118 ,60649 ,30990 ,254244 ,22759 ,105971 ,18800 ,39833 ,19649 ,29789 ,22304 ,29516 ,27758 ,34799 ,30993 ,31759 ,35016 ,32886 ,43416 ,32371 ,81739 ,35029 ,199017 ,46359 ,84631 ,32930 ,46597 ,17898 ,42772 ,14171 ,32285 ,13402 ,13031 ,10013 ,1744 ,5199 ,4 ,955 ,0 ,0 ,0 ,0 
Feb-20,2호선,212,건대입구,248 ,12 ,16025 ,1979 ,19873 ,16894 ,49728 ,23967 ,94069 ,58839 ,57953 ,41093 ,32099 ,35097 ,30340 ,37390 ,35926 ,46240 ,39936 ,53524 ,40586 ,54534 ,43915 ,57961 ,51767 ,65489 ,65128 ,87869 ,80109 ,143706 ,58788 ,112294 ,58333 ,62105 ,66241 ,54058 ,70193 ,48980 ,45974 ,29308 ,7691 ,10401 ,2 ,941 ,0 ,0 ,0 ,0 
Feb-20,2호선,213,구의(광진구청),5 ,1 ,11623 ,1399 ,23228 ,9116 ,60250 ,13381 ,112093 ,36868 ,63803 ,23797 ,29979 ,18223 ,25194 ,17416 ,27773 ,19883 ,28395 ,23065 ,25236 ,24239 ,24515 ,29329 ,26490 ,33110 ,31335 ,46101 ,40530 ,83666 ,22253 ,68045 ,17412 ,42860 ,16653 ,38588 ,14749 ,36908 ,8790 ,22415 ,1380 ,7189 ,0 ,17 ,0 ,0 ,0 ,0 
Feb-20,2호선,214,강변(동서울터미널),13 ,0 ,7830 ,2514 ,23952 ,19455 ,76747 ,22373 ,115918 ,45547 ,81896 ,40934 ,56134 ,36281 ,49987 ,35752 ,51578 ,42091 ,51258 ,45672 ,48051 ,49074 ,47719 ,54453 ,49759 ,61660 ,55251 ,72870 ,63321 ,116038 ,49264 ,89818 ,38219 ,57624 ,31091 ,47129 ,21638 ,45490 ,8668 ,25476 ,1492 ,6699 ,2 ,14 ,0 ,0 ,0 ,0 
Feb-20,2호선,215,잠실나루,3 ,0 ,2695 ,1476 ,9136 ,9152 ,33278 ,18554 ,46410 ,33263 ,25763 ,23618 ,18528 ,16126 ,18293 ,13588 ,17608 ,16563 ,17978 ,17753 ,18731 ,15651 ,19696 ,14774 ,22878 ,14904 ,28333 ,19564 ,28113 ,35337 ,15440 ,29847 ,11117 ,16948 ,8461 ,14945 ,5591 ,14576 ,2693 ,9101 ,443 ,2717 ,1 ,5 ,0 ,1 ,0 ,0 
Feb-20,2호선,216,잠실(송파구청),76 ,3 ,11232 ,5322 ,41227 ,30754 ,104114 ,71889 ,160620 ,170101 ,116517 ,145158 ,70154 ,82216 ,65756 ,76975 ,71980 ,79869 ,81493 ,86479 ,81520 ,83638 ,88950 ,89664 ,102506 ,101922 ,140068 ,121934 ,217698 ,198563 ,139941 ,144962 ,123683 ,83580 ,102610 ,75513 ,82378 ,73709 ,29046 ,41957 ,3585 ,8822 ,1 ,1 ,0 ,0 ,0 ,0 
Feb-20,2호선,217,잠실새내,26 ,1 ,4703 ,916 ,13918 ,7128 ,48936 ,12739 ,72639 ,25331 ,41697 ,28958 ,24784 ,21350 ,23066 ,22032 ,26017 ,22870 ,27648 ,27532 ,25086 ,28849 ,26609 ,29331 ,28847 ,33631 ,32138 ,47059 ,37547 ,79548 ,28870 ,63090 ,24676 ,33618 ,25866 ,28782 ,24452 ,27180 ,15213 ,15064 ,2472 ,5006 ,0 ,0 ,0 ,1 ,0 ,0 
Feb-20,2호선,218,종합운동장,9 ,0 ,1601 ,1396 ,5161 ,5376 ,15639 ,9591 ,23342 ,20661 ,16761 ,11824 ,9651 ,8320 ,8802 ,6687 ,9298 ,7904 ,9890 ,9270 ,12211 ,10022 ,10410 ,9523 ,9825 ,11429 ,12666 ,13721 ,16559 ,23639 ,9195 ,18154 ,5561 ,10109 ,6260 ,9722 ,3410 ,9976 ,1662 ,5865 ,246 ,1815 ,1 ,58 ,0 ,0 ,0 ,0 
Feb-20,2호선,219,삼성(무역센터),159 ,0 ,4936 ,4639 ,7289 ,39661 ,15536 ,111029 ,21154 ,321630 ,20400 ,228548 ,20557 ,96508 ,28693 ,68778 ,35955 ,60527 ,47923 ,67683 ,58405 ,60029 ,72836 ,51419 ,90290 ,50001 ,154422 ,49462 ,287704 ,60145 ,171022 ,38517 ,114274 ,17862 ,93994 ,14234 ,68963 ,11997 ,19336 ,6701 ,2753 ,4377 ,1 ,1457 ,0 ,0 ,0 ,0 
Feb-20,2호선,220,선릉,104 ,3 ,5159 ,6330 ,10198 ,37088 ,19022 ,98963 ,30662 ,285107 ,28649 ,207953 ,29287 ,91863 ,38866 ,58054 ,47236 ,50842 ,57356 ,61331 ,64585 ,51099 ,83934 ,45150 ,116074 ,42388 ,156920 ,45392 ,285470 ,53494 ,145841 ,37176 ,88415 ,21000 ,85115 ,17319 ,66582 ,15291 ,27356 ,9519 ,4515 ,4506 ,0 ,26 ,0 ,0 ,0 ,0 
Feb-20,2호선,221,역삼,42 ,4 ,3707 ,7810 ,7869 ,37575 ,13564 ,119135 ,25227 ,336794 ,22585 ,256935 ,22010 ,105416 ,29327 ,60748 ,36389 ,51392 ,46396 ,62720 ,52407 ,51845 ,68374 ,45393 ,85219 ,40449 ,164553 ,44986 ,271822 ,54521 ,144055 ,40257 ,84234 ,21611 ,81485 ,16805 ,60058 ,13529 ,22673 ,9270 ,4098 ,3185 ,0 ,8 ,0 ,0 ,0 ,0 
Feb-20,2호선,222,강남,269 ,10 ,12319 ,12335 ,20867 ,51497 ,39799 ,140626 ,64280 ,329418 ,51821 ,355375 ,50719 ,162993 ,69595 ,121563 ,92295 ,121877 ,118413 ,149943 ,119012 ,125617 ,145118 ,114828 ,164271 ,113411 ,227431 ,138712 ,343134 ,200285 ,222579 ,143992 ,170887 ,65706 ,202537 ,47931 ,200247 ,39921 ,91420 ,26594 ,16449 ,7435 ,2 ,51 ,1 ,1 ,0 ,0 
